M0	BOS/EOS,*,*,*,*,*,*
V68	動詞,接尾,*,*,五段・サ行,仮定縮約１,箚す
V69	動詞,接尾,*,*,五段・サ行,仮定縮約１,點す
V70	動詞,接尾,*,*,五段・サ行,命令ｅ,さす
V71	動詞,接尾,*,*,五段・サ行,命令ｅ,す
V72	動詞,接尾,*,*,五段・サ行,命令ｅ,剳す
V73	動詞,接尾,*,*,五段・サ行,命令ｅ,扠す
V74	動詞,接尾,*,*,五段・サ行,命令ｅ,扨す
V75	動詞,接尾,*,*,五段・サ行,命令ｅ,捺す
V76	動詞,接尾,*,*,五段・サ行,命令ｅ,箚す
V77	動詞,接尾,*,*,五段・サ行,命令ｅ,點す
V78	動詞,接尾,*,*,五段・サ行,基本形,さす
V79	動詞,接尾,*,*,五段・サ行,基本形,す
V80	動詞,接尾,*,*,五段・サ行,基本形,剳す
V81	動詞,接尾,*,*,五段・サ行,基本形,扠す
V82	動詞,接尾,*,*,五段・サ行,基本形,扨す
V83	動詞,接尾,*,*,五段・サ行,基本形,捺す
V84	動詞,接尾,*,*,五段・サ行,基本形,箚す
V85	動詞,接尾,*,*,五段・サ行,基本形,點す
V86	動詞,接尾,*,*,五段・サ行,未然ウ接続,さす
V87	動詞,接尾,*,*,五段・サ行,未然ウ接続,す
V88	動詞,接尾,*,*,五段・サ行,未然ウ接続,剳す
V89	動詞,接尾,*,*,五段・サ行,未然ウ接続,扠す
V90	動詞,接尾,*,*,五段・サ行,未然ウ接続,扨す
V91	動詞,接尾,*,*,五段・サ行,未然ウ接続,捺す
V92	動詞,接尾,*,*,五段・サ行,未然ウ接続,箚す
V93	動詞,接尾,*,*,五段・サ行,未然ウ接続,點す
V94	動詞,接尾,*,*,五段・サ行,未然形,さす
V95	動詞,接尾,*,*,五段・サ行,未然形,す
V96	動詞,接尾,*,*,五段・サ行,未然形,剳す
V97	動詞,接尾,*,*,五段・サ行,未然形,扠す
V98	動詞,接尾,*,*,五段・サ行,未然形,扨す
V99	動詞,接尾,*,*,五段・サ行,未然形,捺す
V100	動詞,接尾,*,*,五段・サ行,未然形,箚す
V101	動詞,接尾,*,*,五段・サ行,未然形,點す
V102	動詞,接尾,*,*,五段・サ行,連用形,さす
V103	動詞,接尾,*,*,五段・サ行,連用形,す
V104	動詞,接尾,*,*,五段・サ行,連用形,剳す
V105	動詞,接尾,*,*,五段・サ行,連用形,扠す
V106	動詞,接尾,*,*,五段・サ行,連用形,扨す
V107	動詞,接尾,*,*,五段・サ行,連用形,捺す
V108	動詞,接尾,*,*,五段・サ行,連用形,箚す
V109	動詞,接尾,*,*,五段・サ行,連用形,點す
V110	動詞,接尾,*,*,五段・ラ行,仮定形,がかる
V111	動詞,接尾,*,*,五段・ラ行,仮定形,がる
V112	動詞,接尾,*,*,五段・ラ行,仮定形,掛かる
V113	動詞,接尾,*,*,五段・ラ行,仮定縮約１,がかる
V114	動詞,接尾,*,*,五段・ラ行,仮定縮約１,がる
V115	動詞,接尾,*,*,五段・ラ行,仮定縮約１,掛かる
V116	動詞,接尾,*,*,五段・ラ行,体言接続特殊,がかる
V117	動詞,接尾,*,*,五段・ラ行,体言接続特殊,がる
V118	動詞,接尾,*,*,五段・ラ行,体言接続特殊,掛かる
V119	動詞,接尾,*,*,五段・ラ行,体言接続特殊２,がかる
V120	動詞,接尾,*,*,五段・ラ行,体言接続特殊２,がる
V121	動詞,接尾,*,*,五段・ラ行,命令ｅ,がかる
V122	動詞,接尾,*,*,五段・ラ行,命令ｅ,がる
V123	動詞,接尾,*,*,五段・ラ行,命令ｅ,掛かる
V124	動詞,接尾,*,*,五段・ラ行,基本形,がかる
V125	動詞,接尾,*,*,五段・ラ行,基本形,がる
V126	動詞,接尾,*,*,五段・ラ行,基本形,掛かる
V127	動詞,接尾,*,*,五段・ラ行,未然ウ接続,がかる
V128	動詞,接尾,*,*,五段・ラ行,未然ウ接続,がる
V129	動詞,接尾,*,*,五段・ラ行,未然ウ接続,掛かる
V130	動詞,接尾,*,*,五段・ラ行,未然形,がかる
V131	動詞,接尾,*,*,五段・ラ行,未然形,がる
V132	動詞,接尾,*,*,五段・ラ行,未然形,掛かる
V133	動詞,接尾,*,*,五段・ラ行,未然特殊,がかる
V134	動詞,接尾,*,*,五段・ラ行,未然特殊,がる
V135	動詞,接尾,*,*,五段・ラ行,未然特殊,掛かる
V136	動詞,接尾,*,*,五段・ラ行,連用タ接続,がかる
V137	動詞,接尾,*,*,五段・ラ行,連用タ接続,がる
V138	動詞,接尾,*,*,五段・ラ行,連用タ接続,掛かる
V139	動詞,接尾,*,*,五段・ラ行,連用形,がかる
V140	動詞,接尾,*,*,五段・ラ行,連用形,がる
V141	動詞,接尾,*,*,五段・ラ行,連用形,掛かる
V142	動詞,接尾,*,*,五段・ラ行,連用形,狩り
V143	動詞,自立,*,*,*,体言接続特殊２,*
V144	動詞,自立,*,*,*,文語基本形,*
V145	動詞,自立,*,*,カ変・クル,仮定形,*
V146	動詞,自立,*,*,カ変・クル,仮定形,来る
V147	動詞,自立,*,*,カ変・クル,仮定縮約１,*
V148	動詞,自立,*,*,カ変・クル,仮定縮約１,来る
V149	動詞,自立,*,*,カ変・クル,体言接続特殊,*
V150	動詞,自立,*,*,カ変・クル,体言接続特殊,来る
V151	動詞,自立,*,*,カ変・クル,体言接続特殊２,来る
V152	動詞,自立,*,*,カ変・クル,命令ｉ,*
V153	動詞,自立,*,*,カ変・クル,命令ｉ,来る
V154	動詞,自立,*,*,カ変・クル,命令ｙｏ,*
V155	動詞,自立,*,*,カ変・クル,命令ｙｏ,来る
V156	動詞,自立,*,*,カ変・クル,基本形,*
V157	動詞,自立,*,*,カ変・クル,基本形,来る
V158	動詞,自立,*,*,カ変・クル,未然ウ接続,*
V159	動詞,自立,*,*,カ変・クル,未然ウ接続,来る
V160	動詞,自立,*,*,カ変・クル,未然形,*
V161	動詞,自立,*,*,カ変・クル,未然形,来る
V162	動詞,自立,*,*,カ変・クル,連用形,*
V163	動詞,自立,*,*,カ変・クル,連用形,来る
V164	動詞,自立,*,*,カ変・来ル,仮定形,*
V165	動詞,自立,*,*,カ変・来ル,仮定形,来る
V166	動詞,自立,*,*,カ変・来ル,仮定縮約１,*
V167	動詞,自立,*,*,カ変・来ル,仮定縮約１,来る
V168	動詞,自立,*,*,カ変・来ル,体言接続特殊,*
V169	動詞,自立,*,*,カ変・来ル,体言接続特殊,来る
V170	動詞,自立,*,*,カ変・来ル,体言接続特殊２,来る
V171	動詞,自立,*,*,カ変・来ル,命令ｉ,*
V172	動詞,自立,*,*,カ変・来ル,命令ｉ,来る
V173	動詞,自立,*,*,カ変・来ル,命令ｙｏ,*
V174	動詞,自立,*,*,カ変・来ル,命令ｙｏ,来る
V175	動詞,自立,*,*,カ変・来ル,基本形,*
V176	動詞,自立,*,*,カ変・来ル,基本形,来る
V177	動詞,自立,*,*,カ変・来ル,未然ウ接続,*
V178	動詞,自立,*,*,カ変・来ル,未然ウ接続,来る
V179	動詞,自立,*,*,カ変・来ル,未然形,*
V180	動詞,自立,*,*,カ変・来ル,未然形,来る
V181	動詞,自立,*,*,カ変・来ル,連用形,*
V182	動詞,自立,*,*,カ変・来ル,連用形,来る
V183	動詞,自立,*,*,サ変,仮定形,*
V184	動詞,自立,*,*,サ変,仮定縮約１,*
V185	動詞,自立,*,*,サ変,命令ｒｏ,*
V186	動詞,自立,*,*,サ変,命令ｙｏ,*
V187	動詞,自立,*,*,サ変,基本形,*
V188	動詞,自立,*,*,サ変,文語基本形,*
V189	動詞,自立,*,*,サ変,未然ウ接続,*
V190	動詞,自立,*,*,サ変,未然レル接続,*
V191	動詞,自立,*,*,サ変,未然形,*
V192	動詞,自立,*,*,サ変,連用形,*
V193	動詞,自立,*,*,サ変・スル,仮定形,*
V194	動詞,自立,*,*,サ変・スル,仮定縮約１,*
V195	動詞,自立,*,*,サ変・スル,体言接続特殊,*
V196	動詞,自立,*,*,サ変・スル,命令ｉ,*
V197	動詞,自立,*,*,サ変・スル,命令ｒｏ,*
V198	動詞,自立,*,*,サ変・スル,命令ｙｏ,*
V199	動詞,自立,*,*,サ変・スル,基本形,*
V200	動詞,自立,*,*,サ変・スル,未然ウ接続,*
V201	動詞,自立,*,*,サ変・スル,未然ヌ接続,*
V202	動詞,自立,*,*,サ変・スル,未然レル接続,*
V203	動詞,自立,*,*,サ変・スル,未然形,*
V204	動詞,自立,*,*,サ変・スル,連用形,*
V205	動詞,自立,*,*,ラ変,仮定形,*
V206	動詞,自立,*,*,ラ変,体言接続,*
V207	動詞,自立,*,*,ラ変,命令ｅ,*
V208	動詞,自立,*,*,ラ変,基本形,*
V209	動詞,自立,*,*,ラ変,未然形,*
V210	動詞,自立,*,*,ラ変,連用形,*
V211	動詞,自立,*,*,一段,仮定形,*
V212	動詞,自立,*,*,一段,仮定形,いる
V213	動詞,自立,*,*,一段,仮定形,おける
V214	動詞,自立,*,*,一段,仮定形,できる
V215	動詞,自立,*,*,一段,仮定形,出る
V216	動詞,自立,*,*,一段,仮定形,出来る
V217	動詞,自立,*,*,一段,仮定形,着る
V218	動詞,自立,*,*,一段,仮定縮約１,*
V219	動詞,自立,*,*,一段,仮定縮約１,いる
V220	動詞,自立,*,*,一段,仮定縮約１,おける
V221	動詞,自立,*,*,一段,仮定縮約１,できる
V222	動詞,自立,*,*,一段,仮定縮約１,出る
V223	動詞,自立,*,*,一段,仮定縮約１,出来る
V224	動詞,自立,*,*,一段,仮定縮約１,着る
V225	動詞,自立,*,*,一段,体言接続特殊,*
V226	動詞,自立,*,*,一段,体言接続特殊,いる
V227	動詞,自立,*,*,一段,体言接続特殊,おける
V228	動詞,自立,*,*,一段,体言接続特殊,できる
V229	動詞,自立,*,*,一段,体言接続特殊,出る
V230	動詞,自立,*,*,一段,体言接続特殊,出来る
V231	動詞,自立,*,*,一段,体言接続特殊,着る
V232	動詞,自立,*,*,一段,命令ｒｏ,*
V233	動詞,自立,*,*,一段,命令ｒｏ,いる
V234	動詞,自立,*,*,一段,命令ｒｏ,おける
V235	動詞,自立,*,*,一段,命令ｒｏ,できる
V236	動詞,自立,*,*,一段,命令ｒｏ,出る
V237	動詞,自立,*,*,一段,命令ｒｏ,出来る
V238	動詞,自立,*,*,一段,命令ｒｏ,着る
V239	動詞,自立,*,*,一段,命令ｙｏ,*
V240	動詞,自立,*,*,一段,命令ｙｏ,いる
V241	動詞,自立,*,*,一段,命令ｙｏ,おける
V242	動詞,自立,*,*,一段,命令ｙｏ,できる
V243	動詞,自立,*,*,一段,命令ｙｏ,出る
V244	動詞,自立,*,*,一段,命令ｙｏ,出来る
V245	動詞,自立,*,*,一段,命令ｙｏ,着る
V246	動詞,自立,*,*,一段,基本形,*
V247	動詞,自立,*,*,一段,基本形,いる
V248	動詞,自立,*,*,一段,基本形,おける
V249	動詞,自立,*,*,一段,基本形,できる
V250	動詞,自立,*,*,一段,基本形,出る
V251	動詞,自立,*,*,一段,基本形,出来る
V252	動詞,自立,*,*,一段,基本形,着る
V253	動詞,自立,*,*,一段,未然ウ接続,*
V254	動詞,自立,*,*,一段,未然ウ接続,いる
V255	動詞,自立,*,*,一段,未然ウ接続,おける
V256	動詞,自立,*,*,一段,未然ウ接続,できる
V257	動詞,自立,*,*,一段,未然ウ接続,出る
V258	動詞,自立,*,*,一段,未然ウ接続,出来る
V259	動詞,自立,*,*,一段,未然ウ接続,着る
V260	動詞,自立,*,*,一段,未然形,*
V261	動詞,自立,*,*,一段,未然形,いる
V262	動詞,自立,*,*,一段,未然形,おける
V263	動詞,自立,*,*,一段,未然形,できる
V264	動詞,自立,*,*,一段,未然形,出る
V265	動詞,自立,*,*,一段,未然形,出来る
V266	動詞,自立,*,*,一段,未然形,着る
V267	動詞,自立,*,*,一段,連用形,*
V268	動詞,自立,*,*,一段,連用形,いる
V269	動詞,自立,*,*,一段,連用形,おける
V270	動詞,自立,*,*,一段,連用形,できる
V271	動詞,自立,*,*,一段,連用形,出る
V272	動詞,自立,*,*,一段,連用形,出来る
V273	動詞,自立,*,*,一段,連用形,着る
V274	動詞,自立,*,*,一段・クレル,仮定形,*
V275	動詞,自立,*,*,一段・クレル,仮定縮約１,*
V276	動詞,自立,*,*,一段・クレル,命令ｅ,*
V277	動詞,自立,*,*,一段・クレル,命令ｒｏ,*
V278	動詞,自立,*,*,一段・クレル,命令ｙｏ,*
V279	動詞,自立,*,*,一段・クレル,基本形,*
V280	動詞,自立,*,*,一段・クレル,未然ウ接続,*
V281	動詞,自立,*,*,一段・クレル,未然形,*
V282	動詞,自立,*,*,一段・クレル,未然特殊,*
V283	動詞,自立,*,*,一段・クレル,連用形,*
V284	動詞,自立,*,*,一段・得ル,仮定形,*
V285	動詞,自立,*,*,一段・得ル,基本形,*
V286	動詞,自立,*,*,五段・カ行イ音便,仮定形,*
V287	動詞,自立,*,*,五段・カ行イ音便,仮定縮約１,*
V288	動詞,自立,*,*,五段・カ行イ音便,命令ｅ,*
V289	動詞,自立,*,*,五段・カ行イ音便,基本形,*
V290	動詞,自立,*,*,五段・カ行イ音便,未然ウ接続,*
V291	動詞,自立,*,*,五段・カ行イ音便,未然形,*
V292	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,*
V293	動詞,自立,*,*,五段・カ行イ音便,連用形,*
V294	動詞,自立,*,*,五段・カ行促音便,仮定形,行く
V295	動詞,自立,*,*,五段・カ行促音便,仮定縮約１,行く
V296	動詞,自立,*,*,五段・カ行促音便,命令ｅ,行く
V297	動詞,自立,*,*,五段・カ行促音便,基本形,行く
V298	動詞,自立,*,*,五段・カ行促音便,未然ウ接続,行く
V299	動詞,自立,*,*,五段・カ行促音便,未然形,行く
V300	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く
V301	動詞,自立,*,*,五段・カ行促音便,連用形,行く
V302	動詞,自立,*,*,五段・カ行促音便ユク,仮定形,*
V303	動詞,自立,*,*,五段・カ行促音便ユク,仮定縮約１,*
V304	動詞,自立,*,*,五段・カ行促音便ユク,命令ｅ,*
V305	動詞,自立,*,*,五段・カ行促音便ユク,基本形,*
V306	動詞,自立,*,*,五段・カ行促音便ユク,未然ウ接続,*
V307	動詞,自立,*,*,五段・カ行促音便ユク,未然形,*
V308	動詞,自立,*,*,五段・カ行促音便ユク,連用形,*
V309	動詞,自立,*,*,五段・ラ行,仮定形,ある
V310	動詞,自立,*,*,五段・ラ行,仮定形,いる
V311	動詞,自立,*,*,五段・ラ行,仮定形,なる
V312	動詞,自立,*,*,五段・ラ行,仮定形,依る
V313	動詞,自立,*,*,五段・ラ行,仮定縮約１,ある
V314	動詞,自立,*,*,五段・ラ行,仮定縮約１,いる
V315	動詞,自立,*,*,五段・ラ行,仮定縮約１,なる
V316	動詞,自立,*,*,五段・ラ行,仮定縮約１,依る
V317	動詞,自立,*,*,五段・ラ行,体言接続特殊,ある
V318	動詞,自立,*,*,五段・ラ行,体言接続特殊,いる
V319	動詞,自立,*,*,五段・ラ行,体言接続特殊,なる
V320	動詞,自立,*,*,五段・ラ行,体言接続特殊,依る
V321	動詞,自立,*,*,五段・ラ行,体言接続特殊２,ある
V322	動詞,自立,*,*,五段・ラ行,体言接続特殊２,いる
V323	動詞,自立,*,*,五段・ラ行,体言接続特殊２,なる
V324	動詞,自立,*,*,五段・ラ行,体言接続特殊２,依る
V325	動詞,自立,*,*,五段・ラ行,命令ｅ,ある
V326	動詞,自立,*,*,五段・ラ行,命令ｅ,いる
V327	動詞,自立,*,*,五段・ラ行,命令ｅ,なる
V328	動詞,自立,*,*,五段・ラ行,命令ｅ,依る
V329	動詞,自立,*,*,五段・ラ行,基本形,ある
V330	動詞,自立,*,*,五段・ラ行,基本形,いる
V331	動詞,自立,*,*,五段・ラ行,基本形,なる
V332	動詞,自立,*,*,五段・ラ行,基本形,依る
V333	動詞,自立,*,*,五段・ラ行,未然ウ接続,ある
V334	動詞,自立,*,*,五段・ラ行,未然ウ接続,いる
V335	動詞,自立,*,*,五段・ラ行,未然ウ接続,なる
V336	動詞,自立,*,*,五段・ラ行,未然ウ接続,依る
V337	動詞,自立,*,*,五段・ラ行,未然形,ある
V338	動詞,自立,*,*,五段・ラ行,未然形,いる
V339	動詞,自立,*,*,五段・ラ行,未然形,なる
V340	動詞,自立,*,*,五段・ラ行,未然形,依る
V341	動詞,自立,*,*,五段・ラ行,未然特殊,ある
V342	動詞,自立,*,*,五段・ラ行,未然特殊,いる
V343	動詞,自立,*,*,五段・ラ行,未然特殊,なる
V344	動詞,自立,*,*,五段・ラ行,未然特殊,依る
V345	動詞,自立,*,*,五段・ラ行,連用タ接続,ある
V346	動詞,自立,*,*,五段・ラ行,連用タ接続,いる
V347	動詞,自立,*,*,五段・ラ行,連用タ接続,なる
V348	動詞,自立,*,*,五段・ラ行,連用タ接続,依る
V349	動詞,自立,*,*,五段・ラ行,連用形,ある
V350	動詞,自立,*,*,五段・ラ行,連用形,いる
V351	動詞,自立,*,*,五段・ラ行,連用形,なる
V352	動詞,自立,*,*,五段・ラ行,連用形,依る
V353	動詞,自立,*,*,五段・ラ行特殊,仮定形,*
V354	動詞,自立,*,*,五段・ラ行特殊,仮定縮約１,*
V355	動詞,自立,*,*,五段・ラ行特殊,命令ｅ,*
V356	動詞,自立,*,*,五段・ラ行特殊,命令ｉ,*
V357	動詞,自立,*,*,五段・ラ行特殊,基本形,*
V358	動詞,自立,*,*,五段・ラ行特殊,未然ウ接続,*
V359	動詞,自立,*,*,五段・ラ行特殊,未然形,*
V360	動詞,自立,*,*,五段・ラ行特殊,未然特殊,*
V361	動詞,自立,*,*,五段・ラ行特殊,連用タ接続,*
V362	動詞,自立,*,*,五段・ラ行特殊,連用形,*
V363	動詞,自立,*,*,五段・ワ行ウ音便,仮定形,*
V364	動詞,自立,*,*,五段・ワ行ウ音便,命令ｅ,*
V365	動詞,自立,*,*,五段・ワ行ウ音便,基本形,*
V366	動詞,自立,*,*,五段・ワ行ウ音便,未然ウ接続,*
V367	動詞,自立,*,*,五段・ワ行ウ音便,未然形,*
V368	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,*
V369	動詞,自立,*,*,五段・ワ行ウ音便,連用形,*
V370	動詞,自立,*,*,五段・ワ行促音便,仮定形,*
V371	動詞,自立,*,*,五段・ワ行促音便,仮定形,いう
V372	動詞,自立,*,*,五段・ワ行促音便,仮定形,行う
V373	動詞,自立,*,*,五段・ワ行促音便,仮定形,言う
V374	動詞,自立,*,*,五段・ワ行促音便,仮定縮約１,*
V375	動詞,自立,*,*,五段・ワ行促音便,命令ｅ,*
V376	動詞,自立,*,*,五段・ワ行促音便,命令ｅ,いう
V377	動詞,自立,*,*,五段・ワ行促音便,命令ｅ,行う
V378	動詞,自立,*,*,五段・ワ行促音便,命令ｅ,言う
V379	動詞,自立,*,*,五段・ワ行促音便,基本形,*
V380	動詞,自立,*,*,五段・ワ行促音便,基本形,いう
V381	動詞,自立,*,*,五段・ワ行促音便,基本形,行う
V382	動詞,自立,*,*,五段・ワ行促音便,基本形,言う
V383	動詞,自立,*,*,五段・ワ行促音便,未然ウ接続,*
V384	動詞,自立,*,*,五段・ワ行促音便,未然ウ接続,いう
V385	動詞,自立,*,*,五段・ワ行促音便,未然ウ接続,行う
V386	動詞,自立,*,*,五段・ワ行促音便,未然ウ接続,言う
V387	動詞,自立,*,*,五段・ワ行促音便,未然形,*
V388	動詞,自立,*,*,五段・ワ行促音便,未然形,いう
V389	動詞,自立,*,*,五段・ワ行促音便,未然形,行う
V390	動詞,自立,*,*,五段・ワ行促音便,未然形,言う
V391	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,*
V392	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう
V393	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,行う
V394	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う
V395	動詞,自立,*,*,五段・ワ行促音便,連用形,*
V396	動詞,自立,*,*,五段・ワ行促音便,連用形,いう
V397	動詞,自立,*,*,五段・ワ行促音便,連用形,行う
V398	動詞,自立,*,*,五段・ワ行促音便,連用形,言う
V399	動詞,自立,*,*,五段動詞,仮定形,*
V400	動詞,自立,*,*,五段動詞,仮定縮約１,*
V401	動詞,自立,*,*,五段動詞,体言接続特殊,*
V402	動詞,自立,*,*,五段動詞,命令ｅ,*
V403	動詞,自立,*,*,五段動詞,基本形,*
V404	動詞,自立,*,*,五段動詞,未然ウ接続,*
V405	動詞,自立,*,*,五段動詞,未然形,*
V406	動詞,自立,*,*,五段動詞,未然特殊,*
V407	動詞,自立,*,*,五段動詞,連用タ接続,*
V408	動詞,自立,*,*,五段動詞,連用形,*
V409	動詞,自立,*,*,四段・タ行,仮定形,*
V410	動詞,自立,*,*,四段・タ行,命令ｅ,*
V411	動詞,自立,*,*,四段・タ行,基本形,*
V412	動詞,自立,*,*,四段・タ行,未然形,*
V413	動詞,自立,*,*,四段・タ行,連用形,*
V414	動詞,自立,*,*,文語,仮定形,*
V415	動詞,自立,*,*,文語,体言接続,*
V416	動詞,自立,*,*,文語,命令ｅ,*
V417	動詞,自立,*,*,文語,命令ｙｏ,*
V418	動詞,自立,*,*,文語,基本形,*
V419	動詞,自立,*,*,文語,未然ウ接続,*
V420	動詞,自立,*,*,文語,未然形,*
V421	動詞,自立,*,*,文語,現代基本形,*
V422	動詞,自立,*,*,文語,連用形,*
V423	動詞,非自立,*,*,カ変・クル,仮定形,くる
V424	動詞,非自立,*,*,カ変・クル,仮定縮約１,くる
V425	動詞,非自立,*,*,カ変・クル,体言接続特殊,くる
V426	動詞,非自立,*,*,カ変・クル,体言接続特殊２,くる
V427	動詞,非自立,*,*,カ変・クル,命令ｉ,くる
V428	動詞,非自立,*,*,カ変・クル,命令ｙｏ,くる
V429	動詞,非自立,*,*,カ変・クル,基本形,くる
V430	動詞,非自立,*,*,カ変・クル,未然ウ接続,くる
V431	動詞,非自立,*,*,カ変・クル,未然形,くる
V432	動詞,非自立,*,*,カ変・クル,連用形,くる
V433	動詞,非自立,*,*,カ変・来ル,仮定形,来る
V434	動詞,非自立,*,*,カ変・来ル,仮定縮約１,来る
V435	動詞,非自立,*,*,カ変・来ル,体言接続特殊,来る
V436	動詞,非自立,*,*,カ変・来ル,体言接続特殊２,来る
V437	動詞,非自立,*,*,カ変・来ル,命令ｉ,来る
V438	動詞,非自立,*,*,カ変・来ル,命令ｙｏ,来る
V439	動詞,非自立,*,*,カ変・来ル,基本形,来る
V440	動詞,非自立,*,*,カ変・来ル,未然ウ接続,来る
V441	動詞,非自立,*,*,カ変・来ル,未然形,来る
V442	動詞,非自立,*,*,カ変・来ル,連用形,来る
V443	動詞,非自立,*,*,一段,仮定形,あげる
V444	動詞,非自立,*,*,一段,仮定形,いける
V445	動詞,非自立,*,*,一段,仮定形,いる
V446	動詞,非自立,*,*,一段,仮定形,える
V447	動詞,非自立,*,*,一段,仮定形,かえる
V448	動詞,非自立,*,*,一段,仮定形,かける
V449	動詞,非自立,*,*,一段,仮定形,かねる
V450	動詞,非自立,*,*,一段,仮定形,きれる
V451	動詞,非自立,*,*,一段,仮定形,すぎる
V452	動詞,非自立,*,*,一段,仮定形,そこねる
V453	動詞,非自立,*,*,一段,仮定形,そびれる
V454	動詞,非自立,*,*,一段,仮定形,たげる
V455	動詞,非自立,*,*,一段,仮定形,つける
V456	動詞,非自立,*,*,一段,仮定形,つづける
V457	動詞,非自立,*,*,一段,仮定形,づける
V458	動詞,非自立,*,*,一段,仮定形,てる
V459	動詞,非自立,*,*,一段,仮定形,できる
V460	動詞,非自立,*,*,一段,仮定形,でる
V461	動詞,非自立,*,*,一段,仮定形,のける
V462	動詞,非自立,*,*,一段,仮定形,はじめる
V463	動詞,非自立,*,*,一段,仮定形,みせる
V464	動詞,非自立,*,*,一段,仮定形,みる
V465	動詞,非自立,*,*,一段,仮定形,もらえる
V466	動詞,非自立,*,*,一段,仮定形,る
V467	動詞,非自立,*,*,一段,仮定形,上げる
V468	動詞,非自立,*,*,一段,仮定形,代える
V469	動詞,非自立,*,*,一段,仮定形,切れる
V470	動詞,非自立,*,*,一段,仮定形,変える
V471	動詞,非自立,*,*,一段,仮定形,始める
V472	動詞,非自立,*,*,一段,仮定形,得る
V473	動詞,非自立,*,*,一段,仮定形,忘れる
V474	動詞,非自立,*,*,一段,仮定形,惚れる
V475	動詞,非自立,*,*,一段,仮定形,振れる
V476	動詞,非自立,*,*,一段,仮定形,換える
V477	動詞,非自立,*,*,一段,仮定形,替える
V478	動詞,非自立,*,*,一段,仮定形,枯れる
V479	動詞,非自立,*,*,一段,仮定形,染みる
V480	動詞,非自立,*,*,一段,仮定形,終える
V481	動詞,非自立,*,*,一段,仮定形,続ける
V482	動詞,非自立,*,*,一段,仮定形,過ぎる
V483	動詞,非自立,*,*,一段,仮定形,願える
V484	動詞,非自立,*,*,一段,仮定縮約１,あげる
V485	動詞,非自立,*,*,一段,仮定縮約１,いける
V486	動詞,非自立,*,*,一段,仮定縮約１,いる
V487	動詞,非自立,*,*,一段,仮定縮約１,える
V488	動詞,非自立,*,*,一段,仮定縮約１,かえる
V489	動詞,非自立,*,*,一段,仮定縮約１,かける
V490	動詞,非自立,*,*,一段,仮定縮約１,かねる
V491	動詞,非自立,*,*,一段,仮定縮約１,きれる
V492	動詞,非自立,*,*,一段,仮定縮約１,すぎる
V493	動詞,非自立,*,*,一段,仮定縮約１,そこねる
V494	動詞,非自立,*,*,一段,仮定縮約１,そびれる
V495	動詞,非自立,*,*,一段,仮定縮約１,たげる
V496	動詞,非自立,*,*,一段,仮定縮約１,つける
V497	動詞,非自立,*,*,一段,仮定縮約１,つづける
V498	動詞,非自立,*,*,一段,仮定縮約１,づける
V499	動詞,非自立,*,*,一段,仮定縮約１,てる
V500	動詞,非自立,*,*,一段,仮定縮約１,できる
V501	動詞,非自立,*,*,一段,仮定縮約１,でる
V502	動詞,非自立,*,*,一段,仮定縮約１,のける
V503	動詞,非自立,*,*,一段,仮定縮約１,はじめる
V504	動詞,非自立,*,*,一段,仮定縮約１,みせる
V505	動詞,非自立,*,*,一段,仮定縮約１,みる
V506	動詞,非自立,*,*,一段,仮定縮約１,もらえる
V507	動詞,非自立,*,*,一段,仮定縮約１,る
V508	動詞,非自立,*,*,一段,仮定縮約１,上げる
V509	動詞,非自立,*,*,一段,仮定縮約１,代える
V510	動詞,非自立,*,*,一段,仮定縮約１,切れる
V511	動詞,非自立,*,*,一段,仮定縮約１,変える
V512	動詞,非自立,*,*,一段,仮定縮約１,始める
V513	動詞,非自立,*,*,一段,仮定縮約１,得る
V514	動詞,非自立,*,*,一段,仮定縮約１,忘れる
V515	動詞,非自立,*,*,一段,仮定縮約１,惚れる
V516	動詞,非自立,*,*,一段,仮定縮約１,振れる
V517	動詞,非自立,*,*,一段,仮定縮約１,換える
V518	動詞,非自立,*,*,一段,仮定縮約１,替える
V519	動詞,非自立,*,*,一段,仮定縮約１,枯れる
V520	動詞,非自立,*,*,一段,仮定縮約１,染みる
V521	動詞,非自立,*,*,一段,仮定縮約１,終える
V522	動詞,非自立,*,*,一段,仮定縮約１,続ける
V523	動詞,非自立,*,*,一段,仮定縮約１,過ぎる
V524	動詞,非自立,*,*,一段,仮定縮約１,願える
V525	動詞,非自立,*,*,一段,体言接続特殊,あげる
V526	動詞,非自立,*,*,一段,体言接続特殊,いける
V527	動詞,非自立,*,*,一段,体言接続特殊,いる
V528	動詞,非自立,*,*,一段,体言接続特殊,える
V529	動詞,非自立,*,*,一段,体言接続特殊,かえる
V530	動詞,非自立,*,*,一段,体言接続特殊,かける
V531	動詞,非自立,*,*,一段,体言接続特殊,かねる
V532	動詞,非自立,*,*,一段,体言接続特殊,きれる
V533	動詞,非自立,*,*,一段,体言接続特殊,すぎる
